ID,weekend_nights,week_nights,room_type,board_type,n_adults,n_less_12,n_more_12,booked_tour,n_requests,lead_time,purchase_type,n_p_cacellation,n_p_not_cacellation,repeated,price,date,is_canceled
INN13864,2,4,Room_Type 1,half board,1,0,0,0,0,294.0,Offline,0,0,0,130.0,07/06/2018,True
INN24806,0,2,Room_Type 1,breakfast,1,0,0,0,0,308.0,Offline,0,0,0,110.0,6/15/2018,False
INN09058,0,3,Room_Type 1,half board,2,0,0,0,0,27.0,Offline,0,0,0,115.0,10/11/2018,False
INN15991,1,2,Room_Type 1,,1,0,0,0,0,137.0,Offline,0,0,0,95.0,07/01/2018,True
INN17372,1,2,Room_Type 1,half board,2,0,0,0,0,110.0,Offline,0,0,0,100.0,04/04/2018,True
INN08459,0,3,Room_Type 1,full board,2,0,0,0,1,20.0,Online,0,0,0,123.36,9/27/2018,False
INN03212,0,3,Room_Type 1,half board,1,0,0,0,0,23.0,Offline,1,0,1,100.0,10/06/2017,False
INN27157,2,2,Room_Type 1,half board,1,0,0,0,0,138.0,Offline,0,0,0,96.0,2/27/2018,False
INN18770,2,4,Room_Type 1,half board,2,0,0,0,1,164.0,Offline,0,0,0,92.25,07/10/2018,False
INN35920,0,2,Room_Type 1,breakfast,2,0,0,0,0,351.0,Offline,0,0,0,135.0,7/21/2018,True
INN00517,2,4,Room_Type 4,,2,0,0,0,1,119.0,Online,0,0,0,113.78,04/10/2018,False
INN29100,2,1,Room_Type 1,half board,2,0,0,0,1,70.0,Offline,0,0,0,95.0,11/20/2018,False
INN31563,2,2,Room_Type 1,full board,2,0,0,0,2,134.0,Online,0,0,0,138.8,09/11/2018,False
INN34527,0,2,Room_Type 1,breakfast,2,0,0,0,0,350.0,Offline,0,0,0,135.0,8/19/2018,True
INN31728,0,1,Room_Type 1,half board,1,0,0,0,0,3.0,Offline,0,0,0,75.0,03/02/2018,False
INN12859,1,2,Room_Type 1,half board,2,0,0,0,0,336.0,Offline,0,0,0,130.0,9/19/2018,True
INN10112,0,2,Room_Type 1,half board,3,0,0,0,0,36.0,Online,0,0,0,108.9,03/04/2018,False
INN14168,1,2,Room_Type 1,half board,2,0,0,0,0,11.0,Offline,0,0,0,86.0,02/05/2018,False
INN29506,1,3,Room_Type 4,half board,2,0,0,0,1,321.0,Online,0,0,0,125.83,10/24/2018,True
INN24700,2,1,Room_Type 1,half board,1,0,0,0,0,14.0,Corporate,2,11,1,85.0,11/22/2017,False
INN35103,2,4,Room_Type 1,half board,1,0,0,0,0,294.0,Offline,0,0,0,130.0,07/06/2018,True
INN15513,0,3,Room_Type 1,,2,0,0,0,0,53.0,Offline,0,0,0,95.0,2/17/2018,False
INN15148,1,4,Room_Type 4,half board,3,0,0,0,0,234.0,Online,0,0,0,160.25,09/05/2018,True
INN03883,2,4,Room_Type 1,,2,0,0,0,2,86.0,,0,0,0,,11/12/2018,False
INN14011,0,3,Room_Type 1,,2,0,0,0,2,29.0,,0,0,0,,9/17/2017,False
INN33659,0,2,Room_Type 1,half board,1,0,0,0,0,182.0,Offline,0,0,0,91.0,1/19/2018,False
INN35018,2,2,Room_Type 4,half board,3,0,0,0,2,57.0,Online,0,0,0,134.48,07/02/2018,False
INN35440,0,2,Room_Type 1,,1,0,0,0,0,226.0,,0,0,0,,6/15/2018,True
INN17702,0,2,Room_Type 1,half board,2,0,1,1,1,5.0,Online,0,0,0,189.0,10/25/2018,False
INN19139,0,3,Room_Type 1,half board,1,0,0,0,0,402.0,Offline,0,0,0,100.0,10/13/2018,False
INN18861,0,3,Room_Type 1,half board,2,0,0,0,1,155.0,Online,0,0,0,108.01,08/10/2018,False
INN28725,0,1,Room_Type 1,,1,0,0,0,0,220.0,Online,0,0,0,118.1,10/11/2018,True
INN10685,1,0,Room_Type 1,full board,1,0,0,0,0,9.0,Online,0,0,0,98.8,5/16/2018,False
INN02440,0,2,Room_Type 1,half board,2,0,0,0,0,70.0,Online,0,0,0,100.3,03/04/2018,True
INN09809,0,3,Room_Type 1,,1,0,0,0,1,50.0,,0,0,0,,12/21/2018,False
INN20781,0,2,Room_Type 1,half board,2,0,0,0,0,33.0,Offline,0,0,0,128.0,9/30/2017,False
INN15256,1,1,Room_Type 1,,2,0,0,0,1,297.0,Offline,0,0,0,135.0,06/06/2018,True
INN30465,0,1,Room_Type 1,,1,0,0,0,0,0.0,,0,0,0,,08/11/2017,False
INN01791,2,4,Room_Type 4,half board,3,0,0,0,0,16.0,Online,0,0,0,151.89,12/02/2018,False
INN24252,0,2,Room_Type 1,half board,2,1,0,0,2,112.0,Online,0,0,0,141.5,07/12/2018,False
INN11859,0,1,Room_Type 4,half board,2,0,0,0,0,0.0,Corporate,0,0,0,180.0,9/27/2018,False
INN03047,0,2,Room_Type 1,,2,0,0,0,0,62.0,,0,0,0,,8/18/2018,True
INN31483,2,2,Room_Type 1,,2,0,0,0,1,57.0,Online,0,0,0,83.75,12/20/2017,False
INN25858,0,2,Room_Type 1,full board,2,0,0,0,2,29.0,Online,0,0,0,168.0,08/04/2018,False
INN24793,2,3,Room_Type 4,half board,2,0,0,0,1,74.0,Online,0,0,0,169.4,09/11/2018,False
INN32523,0,3,Room_Type 1,half board,3,0,0,0,2,160.0,Online,0,0,0,157.7,07/12/2018,False
INN08190,2,0,Room_Type 1,breakfast,2,0,0,0,0,322.0,Offline,0,0,0,125.0,10/30/2018,True
INN27696,0,3,Room_Type 1,breakfast,1,0,0,0,0,86.0,Offline,0,0,0,118.0,05/10/2018,False
INN03533,1,2,Room_Type 1,half board,2,0,0,0,0,366.0,Online,0,0,0,109.0,11/04/2018,True
INN33855,2,1,Room_Type 1,half board,2,0,0,0,0,339.0,Offline,0,0,0,96.67,10/10/2017,False
INN04351,1,4,Room_Type 1,half board,2,0,0,0,0,32.0,Offline,0,0,0,107.0,03/07/2018,False
INN15049,0,3,Room_Type 1,half board,2,0,0,0,1,267.0,Online,0,0,0,116.3,8/31/2018,True
INN05000,0,2,Room_Type 1,full board,1,0,0,0,0,10.0,Online,0,0,0,96.08,6/14/2018,False
INN02014,0,2,Room_Type 1,,1,0,0,0,0,,,0,0,0,,6/24/2018,True
INN27436,0,2,Room_Type 1,half board,2,1,0,0,0,45.0,Online,0,0,0,172.1,7/28/2018,False
INN15017,0,3,Room_Type 1,half board,2,0,0,0,0,332.0,Offline,0,0,0,115.0,9/22/2018,True
INN34714,1,1,Room_Type 4,half board,3,0,0,0,1,2.0,Online,0,0,0,157.0,04/04/2018,False
INN28450,0,4,Room_Type 1,,2,0,0,0,2,5.0,Online,0,0,0,110.5,8/18/2017,False
INN19416,0,3,Room_Type 1,breakfast,2,0,0,0,1,106.0,Offline,0,0,0,137.0,05/03/2018,False
INN20911,0,2,Room_Type 6,half board,2,0,2,0,0,38.0,Online,0,0,0,172.1,2/26/2018,True
INN19694,1,3,Room_Type 4,,2,0,0,0,0,164.0,,0,0,0,,5/16/2018,True
INN33386,1,2,Room_Type 4,,3,0,0,0,1,141.0,Online,0,0,0,175.7,08/12/2018,False
INN18550,0,2,Room_Type 4,,2,0,0,0,2,11.0,,0,0,0,,10/07/2018,False
INN36159,0,3,Room_Type 4,half board,3,0,0,0,2,6.0,Online,0,0,0,177.0,4/21/2018,False
INN11552,1,2,Room_Type 1,half board,2,0,0,0,1,72.0,Online,0,0,0,112.7,04/01/2018,False
INN28302,1,2,Room_Type 1,full board,2,0,0,0,2,15.0,Online,0,0,0,139.0,08/01/2018,False
INN20683,1,2,Room_Type 1,full board,2,0,0,0,2,63.0,Online,0,0,0,136.1,5/13/2018,False
INN31099,2,3,Room_Type 1,half board,1,0,0,0,2,48.0,Online,0,0,0,105.5,9/13/2017,False
INN05678,0,4,Room_Type 1,half board,2,0,0,0,0,252.0,Online,0,0,0,116.3,10/19/2018,True
INN36093,0,1,Room_Type 1,half board,2,0,0,0,1,16.0,Online,0,0,0,121.0,04/08/2018,False
INN17761,2,4,Room_Type 1,half board,2,0,0,0,0,137.0,Online,0,0,0,135.25,05/12/2018,True
INN20639,2,2,Room_Type 4,,2,0,0,0,0,86.0,,0,0,0,152.6,05/01/2018,True
INN06639,1,4,Room_Type 1,half board,2,0,1,0,1,88.0,Online,0,0,0,155.0,10/12/2018,True
INN00738,2,5,Room_Type 1,full board,2,0,0,0,0,125.0,Online,0,0,0,129.65,05/11/2018,True
INN24885,2,3,Room_Type 1,,1,0,0,0,2,114.0,,0,0,0,87.5,12/18/2017,False
INN36244,0,2,Room_Type 1,full board,2,0,0,0,1,197.0,Online,0,0,0,114.5,08/04/2018,False
INN23272,0,2,Room_Type 1,half board,2,0,0,0,1,0.0,Complementary,0,0,0,20.0,3/29/2018,False
INN09555,0,1,Room_Type 1,half board,2,0,0,0,2,4.0,Online,0,0,0,161.0,6/17/2018,False
INN23915,1,2,Room_Type 1,half board,2,0,0,0,0,12.0,Offline,0,0,0,100.0,3/14/2018,False
INN19656,0,2,Room_Type 1,breakfast,2,0,0,0,0,309.0,Offline,0,0,0,121.5,07/01/2017,True
INN20124,0,1,Room_Type 1,breakfast,2,0,0,0,0,66.0,Offline,0,0,0,124.0,04/06/2018,False
INN01017,2,3,Room_Type 1,half board,2,0,0,0,0,28.0,Online,0,0,0,143.8,8/28/2018,True
INN01467,2,1,Room_Type 1,,2,0,0,0,1,168.0,,0,0,0,,5/29/2018,True
INN30178,1,2,Room_Type 1,,2,0,0,0,1,348.0,,0,0,0,92.0,6/17/2018,False
INN20263,0,4,Room_Type 1,,2,0,0,0,0,356.0,,0,0,0,,9/21/2018,True
INN23159,0,3,Room_Type 1,half board,2,0,0,0,1,220.0,Offline,0,0,0,130.0,09/08/2018,True
INN28686,1,2,Room_Type 1,half board,1,0,0,0,0,122.0,Offline,0,0,0,90.0,04/04/2018,True
INN25894,1,0,Room_Type 1,,2,0,0,0,1,24.0,,0,0,0,,8/29/2018,False
INN03100,1,0,Room_Type 1,half board,1,0,0,0,0,39.0,Corporate,0,0,0,115.0,10/10/2018,False
INN05687,0,3,Room_Type 1,half board,2,0,0,0,0,15.0,Corporate,0,0,0,85.0,08/05/2017,False
INN17364,0,3,Room_Type 4,breakfast,3,0,0,0,2,52.0,Online,0,0,0,214.3,11/01/2018,False
INN13140,0,3,Room_Type 1,half board,2,0,0,0,1,220.0,Offline,0,0,0,130.0,09/08/2018,True
INN34235,1,0,Room_Type 1,full board,2,0,0,0,0,59.0,Online,0,0,0,113.15,07/11/2018,True
INN20888,2,4,Room_Type 4,,2,0,0,0,1,119.0,,0,0,0,,04/10/2018,False
INN26424,0,1,Room_Type 5,,1,0,0,0,0,,,0,0,0,,06/02/2018,False
INN21711,1,1,Room_Type 1,half board,2,0,0,0,0,252.0,Online,0,0,0,108.7,05/02/2018,True
INN27725,0,1,Room_Type 1,half board,1,0,0,0,1,14.0,Online,0,0,0,159.0,9/20/2018,False
INN35055,2,3,Room_Type 4,half board,1,0,0,0,2,63.0,Online,0,0,0,124.08,3/17/2018,False
INN07700,1,2,Room_Type 1,half board,2,0,0,0,0,142.0,Offline,0,0,0,140.0,06/06/2018,False
INN34440,2,1,Room_Type 1,half board,2,0,0,0,0,100.0,Offline,0,0,0,95.0,12/18/2018,False
INN26613,0,2,Room_Type 1,half board,2,0,0,0,0,254.0,Offline,0,0,0,120.0,5/20/2018,True
INN30157,0,4,Room_Type 1,breakfast,1,0,0,0,0,388.0,Offline,0,0,0,106.0,5/17/2018,False
INN08750,0,2,Room_Type 1,breakfast,2,0,0,0,0,89.0,Offline,0,0,0,129.0,9/18/2017,False
INN13317,1,3,Room_Type 1,,2,0,0,0,0,4.0,,0,0,0,,8/17/2017,False
INN14485,1,2,Room_Type 1,half board,2,0,0,0,0,336.0,Offline,0,0,0,130.0,9/19/2018,True
INN14479,2,2,Room_Type 1,half board,1,0,0,0,1,189.0,Online,0,0,0,137.68,11/06/2018,True
INN02476,2,1,Room_Type 1,breakfast,2,0,0,0,0,28.0,Offline,0,0,0,129.0,01/02/2018,False
INN21783,1,2,Room_Type 1,half board,2,0,0,0,0,6.0,Offline,0,0,0,110.0,10/19/2017,False
INN19466,2,1,Room_Type 1,half board,2,0,0,0,2,36.0,Online,0,0,0,137.0,9/25/2018,False
INN13340,0,1,Room_Type 1,,1,0,0,0,0,2.0,,0,0,0,110.0,1/29/2018,False
INN24267,0,3,Room_Type 4,,3,0,0,0,2,70.0,Online,0,0,0,143.3,3/31/2018,False
INN00345,1,1,Room_Type 4,half board,3,0,0,0,0,83.0,Online,0,0,0,157.7,7/25/2018,True
INN26426,0,4,Room_Type 1,,2,0,0,0,1,9.0,Online,0,0,0,126.36,11/08/2018,False
INN02919,0,1,Room_Type 1,half board,2,0,0,0,0,2.0,Online,0,0,0,104.0,05/10/2018,False
INN22170,0,1,Room_Type 1,half board,2,0,0,0,1,5.0,Online,0,0,0,169.0,8/25/2018,False
INN01460,2,2,Room_Type 1,half board,2,0,0,0,0,207.0,Offline,0,0,0,100.75,9/16/2018,False
INN14005,1,3,Room_Type 1,half board,3,0,0,0,1,126.0,Offline,0,0,0,116.9,7/21/2018,False
INN29243,2,2,Room_Type 1,half board,2,0,0,0,0,6.0,Offline,0,0,0,100.0,12/18/2018,False
INN15954,2,3,Room_Type 1,,2,0,0,0,1,39.0,,0,0,0,,11/10/2018,False
INN25436,0,3,Room_Type 1,half board,1,0,0,0,0,136.0,Corporate,0,0,0,120.0,5/31/2018,True
INN31896,0,2,Room_Type 1,breakfast,2,0,0,0,1,344.0,Offline,0,0,0,137.0,9/16/2018,True
INN09618,1,0,Room_Type 1,,2,0,0,0,0,344.0,Offline,0,0,0,110.0,10/16/2018,True
INN28267,0,2,Room_Type 1,half board,2,0,0,0,0,168.0,Online,0,0,0,116.3,07/01/2018,True
INN25822,2,3,Room_Type 1,half board,2,0,0,0,1,142.0,Online,0,0,0,110.95,04/10/2018,False
INN33919,0,4,Room_Type 4,half board,2,0,0,0,1,8.0,Online,0,0,0,129.5,2/24/2018,False
INN31324,1,4,Room_Type 4,,2,0,0,0,2,38.0,,0,0,0,,4/18/2018,False
INN33867,0,1,Room_Type 1,half board,2,0,0,0,0,33.0,Offline,0,0,0,140.0,06/09/2018,False
INN20950,0,1,Room_Type 1,half board,2,0,0,0,0,68.0,Offline,0,0,0,140.0,06/08/2018,False
INN10321,1,2,Room_Type 2,half board,2,0,0,0,3,240.0,Online,0,0,0,102.92,10/31/2018,False
INN33185,0,4,Room_Type 1,,2,0,0,0,0,237.0,Online,0,0,0,130.43,12/29/2017,False
INN26227,0,2,Room_Type 1,breakfast,2,0,0,0,0,350.0,Offline,0,0,0,135.0,8/19/2018,True
INN35296,0,2,Room_Type 1,half board,2,0,0,1,2,83.0,Online,0,0,0,139.8,12/31/2017,False
INN09952,0,4,Room_Type 4,half board,3,0,0,0,0,77.0,Online,0,0,0,159.5,07/12/2018,False
INN35725,2,4,Room_Type 6,half board,2,2,0,0,0,32.0,Online,0,0,0,191.0,02/10/2018,False
INN03116,0,3,Room_Type 1,half board,2,0,0,0,0,29.0,Online,0,0,0,106.93,12/08/2018,False
INN08445,1,2,Room_Type 4,half board,3,0,0,0,3,123.0,Online,0,0,0,172.1,8/19/2018,False
INN07859,1,2,Room_Type 4,half board,2,0,0,0,0,26.0,Offline,0,0,0,127.0,10/10/2018,False
INN06020,0,1,Room_Type 1,half board,2,0,0,0,0,28.0,Online,0,0,0,111.0,2/25/2018,False
INN26241,0,1,Room_Type 1,,2,0,0,0,1,0.0,,0,3,1,,12/09/2017,False
INN13248,1,2,Room_Type 1,,1,0,0,0,0,0.0,Offline,0,0,0,95.0,03/07/2018,False
INN20458,0,2,Room_Type 1,half board,2,0,0,0,1,230.0,Offline,0,0,0,100.75,05/12/2018,False
INN15066,2,6,Room_Type 1,half board,2,0,0,0,0,184.0,Online,0,0,0,131.78,06/07/2018,True
INN30368,2,1,Room_Type 1,half board,1,0,0,0,0,2.0,Offline,0,0,0,80.0,2/28/2018,True
INN27869,0,3,Room_Type 1,half board,2,0,0,0,1,62.0,Online,0,0,0,88.47,11/17/2018,False
INN11397,0,3,Room_Type 1,,2,0,0,0,0,23.0,Offline,1,0,1,110.0,10/06/2017,False
INN30338,0,3,Room_Type 1,half board,2,0,0,0,1,10.0,Online,0,0,0,87.5,11/26/2017,False
INN09731,0,3,Room_Type 1,,2,0,0,0,0,256.0,Offline,0,0,0,150.0,06/07/2018,True
INN25314,0,1,Room_Type 1,,2,0,0,0,0,2.0,Online,0,0,0,126.0,8/19/2017,False
INN35994,1,3,Room_Type 4,half board,3,0,0,0,2,161.0,Online,0,0,0,135.6,11/21/2018,False
INN30140,0,5,Room_Type 1,half board,2,0,0,1,1,10.0,Online,0,0,0,113.0,8/18/2017,False
INN15252,1,1,Room_Type 1,half board,2,0,0,0,1,42.0,Online,0,0,0,124.85,10/17/2017,False
INN28163,0,3,Room_Type 1,half board,1,0,0,1,0,35.0,Corporate,0,2,1,87.0,04/05/2018,False
INN09479,1,2,Room_Type 1,half board,2,0,0,0,0,34.0,Online,0,0,0,122.85,6/13/2018,True
INN08906,4,11,Room_Type 4,,2,0,0,0,1,5.0,,0,0,0,,2/25/2018,False
INN01152,0,3,Room_Type 1,,3,0,0,0,0,2.0,Online,0,0,0,203.5,12/31/2017,False
INN10205,1,0,Room_Type 1,,2,0,0,0,0,5.0,Online,0,0,0,109.0,05/08/2018,False
INN05510,0,3,Room_Type 4,half board,3,0,0,0,2,104.0,Online,0,0,0,160.0,12/08/2018,False
INN29128,0,3,Room_Type 1,half board,2,0,0,1,2,0.0,Online,0,0,0,153.0,08/11/2017,False
INN35177,0,1,Room_Type 5,,1,0,0,0,0,3.0,,0,0,0,,06/02/2018,False
INN26570,0,1,Room_Type 1,half board,2,0,0,0,1,14.0,Online,0,0,0,110.0,8/29/2017,False
INN19869,0,1,Room_Type 1,full board,2,0,0,0,0,0.0,Online,0,0,0,178.0,08/09/2018,True
INN32670,0,1,Room_Type 1,half board,1,0,0,0,0,35.0,Corporate,0,0,0,115.0,5/20/2018,False
INN14361,0,1,Room_Type 1,half board,2,0,0,0,0,32.0,Offline,0,0,0,140.0,06/08/2018,False
INN25969,0,3,Room_Type 4,half board,1,0,0,0,0,53.0,Online,0,0,0,271.7,6/16/2018,True
INN30209,2,3,Room_Type 1,half board,2,0,0,0,0,246.0,Online,0,0,0,110.95,7/22/2018,True
INN20002,1,1,Room_Type 2,,2,0,0,0,1,23.0,Online,0,0,0,106.75,12/26/2017,False
INN06291,1,2,Room_Type 6,half board,2,2,0,1,2,24.0,Online,0,0,0,219.33,12/28/2017,False
INN16218,1,1,Room_Type 1,,1,0,0,0,0,5.0,Offline,0,0,0,100.0,8/29/2018,False
INN03429,0,2,Room_Type 1,breakfast,1,0,0,0,0,351.0,Offline,0,0,0,110.0,7/21/2018,False
INN10643,1,2,Room_Type 1,,2,0,0,0,0,81.0,,0,0,0,95.0,12/02/2018,False
INN30674,0,1,Room_Type 1,half board,1,0,0,0,0,50.0,Corporate,0,0,0,109.0,5/24/2018,False
INN28856,0,3,Room_Type 1,,2,0,0,0,1,245.0,,0,0,0,,09/08/2018,True
INN34745,2,1,Room_Type 1,half board,2,0,0,0,0,83.0,Offline,0,0,0,88.0,11/13/2018,False
INN35584,0,3,Room_Type 1,half board,2,0,0,0,0,45.0,Offline,0,0,0,125.0,10/13/2018,False
INN21631,1,2,Room_Type 1,,1,0,0,0,2,38.0,,0,0,0,105.5,10/05/2017,False
INN12893,0,2,Room_Type 1,,2,0,1,0,1,234.0,,0,0,0,,8/30/2018,True
INN01687,0,3,Room_Type 1,half board,2,0,0,0,0,256.0,Online,0,0,0,150.0,06/07/2018,True
INN35522,0,1,Room_Type 1,half board,1,0,0,1,1,2.0,Corporate,1,3,1,87.0,03/09/2018,False
INN09797,1,0,Room_Type 1,full board,2,0,0,0,0,59.0,Online,0,0,0,113.15,07/11/2018,True
INN03174,1,4,Room_Type 1,full board,2,0,0,0,1,236.0,Online,0,0,0,100.75,08/03/2018,False
INN22362,0,4,Room_Type 4,half board,2,0,0,0,1,110.0,Online,0,0,0,138.8,7/13/2018,False
INN21981,2,1,Room_Type 4,half board,2,0,0,0,0,76.0,Online,0,0,0,160.4,5/28/2018,True
INN10186,1,2,Room_Type 4,breakfast,2,0,0,0,0,113.0,Online,0,0,0,194.6,5/20/2018,True
INN19232,0,3,Room_Type 1,half board,2,0,0,0,0,22.0,Online,0,0,0,129.0,3/17/2018,False
INN09446,1,0,Room_Type 1,,1,0,0,0,0,8.0,,0,1,1,109.0,10/03/2018,False
INN26833,0,3,Room_Type 4,,2,0,0,0,1,38.0,,0,0,0,,3/23/2018,False
INN15429,1,0,Room_Type 1,full board,2,0,0,0,0,14.0,Online,0,0,0,129.0,2/14/2018,False
INN29160,2,1,Room_Type 1,,2,0,0,0,1,69.0,,0,0,0,98.3,03/12/2018,False
INN19323,0,2,Room_Type 4,half board,2,0,0,0,2,81.0,Online,0,0,0,101.9,11/20/2017,False
INN05567,2,1,Room_Type 1,,2,0,0,0,0,33.0,Offline,0,0,0,105.5,10/09/2018,False
INN07448,1,1,Room_Type 1,half board,2,0,0,0,2,63.0,Online,0,0,0,92.76,09/07/2017,False
INN11151,2,2,Room_Type 6,half board,2,0,2,0,0,51.0,Online,0,0,0,218.9,5/15/2018,True
INN28032,0,2,Room_Type 6,,2,2,0,0,1,96.0,,0,0,0,227.9,11/11/2018,False
INN35064,0,3,Room_Type 4,half board,2,0,0,0,0,119.0,Offline,0,0,0,80.67,12/30/2017,False
INN22287,0,3,Room_Type 1,half board,1,0,0,0,2,96.0,Online,0,0,0,106.4,12/07/2018,False
INN09564,1,2,Room_Type 1,breakfast,2,0,0,0,0,194.0,Offline,0,0,0,150.0,3/25/2018,True
INN09331,0,3,Room_Type 1,,2,0,0,0,1,5.0,,0,0,0,,2/25/2018,False
INN00262,1,1,Room_Type 1,full board,2,0,0,0,0,5.0,Online,0,0,0,87.5,1/16/2018,False
INN20278,0,1,Room_Type 1,half board,1,0,0,1,1,17.0,Corporate,0,9,1,108.0,11/23/2018,False
INN02033,0,2,Room_Type 1,,2,0,0,0,1,384.0,,0,0,0,,8/18/2018,True
INN01782,1,1,Room_Type 1,,2,0,0,0,0,330.0,Online,0,0,0,82.8,06/04/2018,True
INN18933,1,3,Room_Type 1,half board,2,0,1,0,1,244.0,Offline,0,0,0,122.08,09/05/2018,True
INN30263,0,2,Room_Type 1,half board,1,0,0,0,0,231.0,Offline,0,0,0,115.0,6/24/2018,False
INN23523,0,4,Room_Type 1,half board,2,0,0,0,1,117.0,Online,0,0,0,85.42,3/23/2018,False
INN21043,0,2,Room_Type 1,full board,2,0,0,0,1,92.0,Online,0,0,0,99.2,11/11/2018,False
INN06438,1,5,Room_Type 1,half board,2,0,1,0,2,5.0,Online,0,0,0,154.17,8/17/2017,False
INN20615,1,2,Room_Type 1,half board,2,0,0,0,0,80.0,Offline,0,0,0,95.0,10/09/2017,False
INN36241,2,1,Room_Type 1,half board,2,0,0,0,0,39.0,Offline,0,0,0,105.5,10/09/2018,False
INN24073,0,3,Room_Type 1,,1,0,0,0,2,66.0,,0,0,0,106.4,12/08/2018,False
INN22445,2,3,Room_Type 2,,2,0,0,0,0,32.0,,0,0,0,,11/01/2017,False
INN28581,2,0,Room_Type 1,,2,1,0,0,1,16.0,Offline,0,0,0,84.0,12/06/2017,False
INN14669,0,1,Room_Type 4,half board,2,0,0,0,1,38.0,Online,0,0,0,160.4,5/20/2018,False
INN31446,0,2,Room_Type 1,full board,2,0,0,0,0,56.0,Online,0,0,0,127.1,6/28/2018,True
INN09136,0,1,Room_Type 1,half board,2,0,0,1,1,10.0,Online,0,0,0,120.0,6/23/2018,False
INN31383,0,1,Room_Type 1,full board,2,0,0,0,0,76.0,Online,0,0,0,119.0,09/03/2018,True
INN16753,2,1,Room_Type 1,,2,0,0,0,1,41.0,Online,0,0,0,122.3,12/27/2017,False
INN14499,2,2,Room_Type 1,half board,2,0,0,0,0,275.0,Online,0,0,0,109.25,10/22/2018,True
INN26350,1,3,Room_Type 1,,2,0,0,0,0,2.0,Offline,0,0,0,196.0,9/22/2018,False
INN23766,2,2,Room_Type 1,half board,1,0,0,0,0,54.0,Online,0,0,0,105.5,9/18/2017,False
INN13445,0,1,Room_Type 1,half board,2,0,0,0,0,28.0,Online,0,0,0,125.0,09/04/2017,False
INN20893,0,2,Room_Type 1,,2,1,0,0,1,48.0,,0,0,0,,9/27/2018,False
INN17693,1,1,Room_Type 1,half board,2,0,0,0,1,112.0,Online,0,0,0,146.9,6/20/2018,False
